Item,Carga CPU,Carga RAM,Promedio Trespuesta,AvgIOReadOperationsPerSec,AvgIOWriteOperationsPerSec,SQL Cache Memory,Sesiones Activas,Loginspersecond,User Conections,Disponibilidad SQL,Average Latch Wait Time,Lock Wait Time,Eventos SQL
163,62.66666667,98.05109406,1,224.9862475,391.2815551,62876.22222,107.4166667,0.101716806,125.5833333,97.22222222,2.19092562,26.76100881,0
164,50.66666667,97.22086589,1,335.3629446,396.6323614,61917.77778,152.5555556,0.10981298,125.1666667,100,2.840211413,38.80186893,0
165,61.33333333,96.41407267,3.666666667,376.0445176,375.8762702,62226,139.7222222,0.135263542,114.3333333,100,2.964596818,23.2595993,0
166,51.33333333,97.347435,3,226.1724074,391.6624876,62930.66667,151.6666667,0.126050899,127.8055556,100,3.031608386,84.52030338,0
167,49.66666667,97.30830129,3,129.3354584,376.821673,63750.88889,116.9444444,0.10279819,129,100,3.191637894,17.85060758,0
168,65.33333333,97.53800201,3,153.5935752,416.7562329,63352.66667,86.5,0.100468862,120.6666667,100,3.138786569,15.08519624,0
169,50.66666667,97.89054871,3,500.6189607,465.5408724,65934,126.5555556,0.099052767,100.9722222,100,3.261982989,14.31273956,0
170,43.66666667,97.92421214,2.666666667,288.1467904,369.1215506,67452.22222,97.47222222,0.102425335,102.5833333,97.22222222,3.379127718,20.55490272,0
171,43.66666667,97.35062154,3,193.628427,405.1267714,69119.77778,123.9444444,0.100744214,101.1388889,100,2.979448606,21.13158901,0
172,44.66666667,98.0115331,3,123.6388449,407.6296342,59873.33333,113.1388889,0.101299789,100.3888889,100,2.789636438,30.05484216,2
173,54.33333333,98.038709,3,175.8517036,370.7345396,56695.55556,87.47222222,0.101776054,101.9166667,100,2.910757854,21.05146378,0
174,57.33333333,98.09376526,6,157.7318093,349.3577866,60031.11111,116.8333333,0.102257058,101.4444444,100,2.8190561,20.07872219,0
175,39,97.96767934,2.666666667,242.1382472,405.2014402,63821.11111,132.2222222,0.105938798,106.1111111,100,2.823538194,17.13958534,0
